tech,variable1,operator1,threshold1,variable2,operator2,threshold2,derating,risk
PV,temperature,<=,32,precipitation,>=,0.001,90,Icing
PV,temperature,<=,32,snow height,>=,1,100,Snow
PV,temperature,<=,-29,,,,20,Extreme cold equipment damage
PV,wind speed at 10m,>=,60,,,,40,Hurricane/tornado force wind damage
PV,temperature,>,14,temperature,<=,41,4,Minimal temperature derating
PV,temperature,>,41,temperature,<=,68,10,Mid-low temperature derating
PV,temperature,>,68,temperature,<=,95,16,Mid temperature derating
PV,temperature,>,95,temperature,<=,122,22,Mid-high temperature derating
PV,temperature,>,122,temperature,<=,149,28,High temperature derating
PV,temperature,>,149,temperature,<=,165,34,Extreme high temperature derating
PV,temperature,>,165,,,,100,High Temperature Rating Limit
PV,solar irradiance,<,800,solar irradiance,>=,600,20,Sub-max sun
PV,solar irradiance,<,600,solar irradiance,>=,400,40,Mid-high sun
PV,solar irradiance,<,400,solar irradiance,>=,200,60,Mid-low sun
PV,solar irradiance,<,200,solar irradiance,>=,50,80,Low sun
PV,solar irradiance,<,50,,,,100,No sun
PV,precipitation,>=,0.25,precipitation,<,0.7,5,Possible Flood Risk
PV,precipitation,>=,0.7,,,,10,Major Flood Risk
WT_ON,wind speed at 100m,<,4,,,,100,Low wind output
WT_ON,wind speed at 100m,>=,4,wind speed at 100m,<,6,88,Low windspeed
WT_ON,wind speed at 100m,>=,6,wind speed at 100m,<,8,68,Mid-low windspeed
WT_ON,wind speed at 100m,>=,8,wind speed at 100m,<,10,32,Mid-high windspeed
WT_ON,wind speed at 100m,>=,10,wind speed at 100m,<,12,12,Suboptimal windspeed
WT_ON,wind speed at 100m,>=,18,wind speed at 100m,<,23,12,High windspeed furl
WT_ON,wind speed at 100m,>,23,,,,100,High speed cutout
WT_ON,temperature,<,32,precipitation,>=,0.001,20,Blade icing
WT_ON,temperature,<,-12,,,,100,Low Temperature Rating Limit (1)
WT_ON,temperature,<,6,temperature,>=,-12,20,Low Temperature Rating Limit (2)
WT_ON,temperature,>,96,temperature,<=,123,20,High Temperature Derating
WT_ON,temperature,>,123,,,,100,High Temperature Rating Limit
WT_OFF,wind speed at 100m,<,4,,,,100,Low wind output
WT_OFF,wind speed at 100m,>=,4,wind speed at 100m,<,6,88,Low windspeed
WT_OFF,wind speed at 100m,>=,6,wind speed at 100m,<,8,68,Mid-low windspeed
WT_OFF,wind speed at 100m,>=,8,wind speed at 100m,<,10,32,Mid-high windspeed
WT_OFF,wind speed at 100m,>=,10,wind speed at 100m,<,12,12,Suboptimal windspeed
WT_OFF,wind speed at 100m,>=,25,wind speed at 100m,<,30,12,High windspeed furl
WT_OFF,wind speed at 100m,>,30,,,,100,High speed cutout
WT_OFF,temperature,<,32,precipitation,>=,2,20,Blade icing
WT_OFF,temperature,<,14,,,,100,Low Temperature Rating Limit
WT_OFF,temperature,>,77,temperature,<=,113,20,High Temperature Derating
WT_OFF,temperature,>,113,,,,100,High Temperature Rating Limit
NUC,wind speed at 10m,>=,26,precipitation,>,0.2,10,Tropical Storm
